id,first_name,last_name,gender,birth_date,age,email,phone_number,address,city,postal_code,country,inn,passport_number,disease,chronic_condition,insurance_status,monthly_medical_expenses_usd,monthly_income_usd,monthly_expenses_usd,loan_amount_usd,loan_purpose,credit_score,education_level,employment_status,years_of_experience,family_size,number_of_children,marital_status,housing_status,industry
16,Tyler,Anderson,Male,1962-09-03,63,thomas44@hotmail.com,+1-529-118-9426x2235,24560 Carolyn Lock,Lake Charleschester,17449,Belarus,913538743651,252775719,Hypertension,Seasonal Allergy,Insured,1307.13,17123.63,10245.89,23520.49,Personal,763,Bachelor's,Self-employed,30,1,0,Single,Own,Education
17,Leslie,Evans,Female,1982-08-09,43,seanwood@brown.com,354.712.1418x927,66237 Giles Divide Suite 717,West Aaron,45471,United Arab Emirates,609463589740,108350118,None,Arthritis,Partially Insured,1288.29,1591.72,1178.67,7468.66,Medical,343,Bachelor's,Retired,1,3,2,Divorced,Living with Family,Transportation
18,Daniel,Wilson,Male,1975-05-03,50,emccarthy@gregory.net,001-640-140-0468x96714,3910 Laura Inlet Suite 183,North Robert,85718,Saint Pierre and Miquelon,248261558558,716308270,Hypertension,Seasonal Allergy,Partially Insured,71.33,12728.66,5148.09,21219.21,Education,676,Bachelor's,Unemployed,24,2,1,Divorced,Rent,None
19,Kelly,Clark,Female,1948-09-05,77,yfigueroa@yahoo.com,759-221-1669x7284,763 Burns Parkway Suite 707,Douglasfort,98218,Saint Pierre and Miquelon,338890986716,127430670,Asthma,Acid Reflux,Partially Insured,1457.32,18294.53,8503.67,66822.76,Education,349,Master's,Retired,25,1,0,Widowed,Living with Family,Construction
20,Heather,Myers,Female,1935-09-22,90,parksjudy@foster.com,432-943-1675x625,627 Alexandria Curve Apt. 275,Simmonsfort,74469,United Arab Emirates,972823939036,310662418,Depression,Arthritis,Insured,603.81,7067.89,4527.59,4393.57,Personal,418,Bachelor's,Unemployed,12,3,2,Divorced,Rent,None
21,Jessica,Harris,Female,1941-02-15,84,youngchristopher@gmail.com,(023)949-1845x670,774 Lewis Grove Apt. 002,Adamtown,59994,United Arab Emirates,571530197320,830685604,Hypertension,Arthritis,Partially Insured,1038.01,7106.47,3143.44,2173.02,Medical,308,PhD,Retired,11,7,5,Married,Rent,Government
22,Daniel,Franklin,Male,1964-06-03,61,matthewgarcia@gmail.com,587-540-8035x13853,4486 Olson Well,North Kevin,46704,Trinidad and Tobago,602550723679,631824899,Hypertension,None,Partially Insured,903.22,11188.79,5935.19,10738.16,Personal,417,Master's,Unemployed,14,2,1,Widowed,Own,Hospitality
23,Misty,Williams,Female,1990-06-09,35,falexander@gmail.com,126.379.1686,37324 Flores Mews,New Rachelside,91632,United Arab Emirates,955972556371,574361564,Depression,Seasonal Allergy,Partially Insured,1653.97,5324.25,4783.95,2785.37,Home,769,Master's,Student,6,2,0,Married,Mortgage,Education
24,Kayla,Murray,Female,1969-11-13,56,allenmendez@hotmail.com,263-340-8860,4195 Emily Squares,Jeffreybury,15671,Belarus,840055156584,451445761,None,Acid Reflux,Insured,680.44,20949.34,13568.95,104556.38,Personal,506,PhD,Self-employed,27,3,2,Widowed,Living with Family,IT
25,David,Fuller,Male,1973-05-21,52,lisatran@richardson-walters.com,(228)123-7933x2365,719 Alicia Knolls,Bryanttown,71873,Belarus,278897256687,809581505,None,None,Insured,450.18,7571.98,5235.83,2512.35,Home,386,Master's,Self-employed,9,6,5,Widowed,Own,Hospitality
26,Sherry,Lamb,Female,1999-10-20,26,greencassandra@hotmail.com,546.030.5357,5240 Berry Centers,West Andrew,03455,Saint Pierre and Miquelon,362098509557,148278919,Hypertension,None,Partially Insured,1588.29,2203.16,1388.8,9926.23,Business,814,Associate Degree,Student,2,1,0,Widowed,Own,Government
27,Adam,Dougherty,Male,1978-10-22,47,cooperelizabeth@stafford.info,(254)256-6064x88709,6208 Christy Shore,North Mark,70961,Saint Pierre and Miquelon,125537695686,965937314,Hypertension,None,Partially Insured,363.94,12741.8,7758.74,38698.75,Business,539,Master's,Student,17,4,3,Widowed,Living with Family,Retail
28,Steven,Newton,Male,1957-04-03,68,mpennington@oliver.com,+1-904-560-0715x427,526 Nelson Park,Smithhaven,28617,Saint Pierre and Miquelon,946258573323,671008537,Diabetes,Acid Reflux,Insured,574.18,12289.75,6776.6,49775.79,Education,363,Master's,Employed,16,4,3,Widowed,Own,Hospitality
29,Laura,Baker,Female,1939-07-24,86,zgriffith@yahoo.com,004.049.4388x5643,539 Martin Ways,West Meghan,84187,Belarus,159340810530,706523847,Depression,None,Partially Insured,932.56,33985.95,23823.59,137692.12,Medical,661,Bachelor's,Employed,62,2,0,Married,Own,Hospitality
30,Christopher,Cooper,Male,1973-12-24,52,troy69@yahoo.com,(029)072-5074,86428 Bryan Route,New Daniel,37443,Trinidad and Tobago,700422086972,749662840,Diabetes,Arthritis,Uninsured,221.99,2494.37,1163.25,8731.29,Home,654,Bachelor's,Student,2,3,2,Single,Mortgage,None
31,Janice,Hamilton,Female,1976-09-23,49,pattersonvicki@hotmail.com,488-855-3620x829,7086 Rachel Lake Apt. 357,Lake Jillshire,54561,Western Sahara,183408187407,715405004,Asthma,None,Partially Insured,1720.86,7364.32,5573.38,35292.36,Car,696,PhD,Employed,7,4,2,Married,Mortgage,Hospitality
32,Joan,Manning,Female,1995-07-19,30,frankmclean@walters-shepard.com,(595)140-7043x66660,9294 Short Locks Suite 820,New Michellestad,46704,Belarus,886798380607,218982054,None,Acid Reflux,Insured,186.95,4383.19,3138.39,10654.77,Personal,327,Bachelor's,Student,7,1,0,Single,Mortgage,Transportation
33,Megan,Ruiz,Female,1977-02-26,48,philip24@lambert-larson.biz,802-227-0808x6259,82434 Graves Glen,Zacharymouth,69245,Saint Pierre and Miquelon,593492439762,693485545,Depression,Acid Reflux,Partially Insured,1909.11,3202.28,2187.18,6655.0,Medical,401,Bachelor's,Retired,4,1,0,Single,Mortgage,IT
34,Brittany,Chen,Female,1958-06-08,67,lisa13@gibbs.net,(527)808-1850,69597 Bass Passage,Vanessaville,59816,United Arab Emirates,125449907085,296064479,Asthma,Acid Reflux,Insured,1660.54,24003.56,13832.09,83025.33,Car,653,Master's,Self-employed,46,1,0,Divorced,Own,None
35,Nicholas,Smith,Male,1960-08-30,65,sbrewer@robles-buck.org,001-251-607-5994x49762,4361 Davis Burg,Andrewfurt,72186,United Arab Emirates,452245929765,590137212,None,Acid Reflux,Insured,373.98,1322.87,974.8,1939.74,Home,325,Bachelor's,Retired,0,1,0,Single,Living with Family,Construction
36,Richard,Reese,Male,2001-11-09,24,hodgeamanda@yahoo.com,081-155-1702x840,5282 Greg Estate,New Mark,73488,United Arab Emirates,845717294923,527461236,Diabetes,None,Insured,1066.46,1228.36,782.08,1797.29,Education,634,High School,Unemployed,1,1,0,Single,Mortgage,Education
37,Andrew,Allen,Male,1972-09-02,53,tammybell@gmail.com,(759)269-0290x62200,000 Ashley Drive Apt. 606,Bradleymouth,40720,Belarus,254286120481,490870752,Diabetes,None,Uninsured,155.84,10535.0,5460.59,19619.43,Home,347,Bachelor's,Unemployed,20,2,1,Divorced,Mortgage,Construction
38,Katrina,Ferguson,Female,1944-04-16,81,wknight@reynolds.com,636.376.9144x8580,40956 Amanda Walk Apt. 260,Simonfurt,98218,Trinidad and Tobago,882134240963,594658218,None,None,Uninsured,817.25,13266.31,7283.39,16454.1,Medical,678,PhD,Self-employed,18,3,2,Single,Mortgage,Finance
39,Lindsey,Martin,Female,1980-09-09,45,smoore@hotmail.com,552-578-0342,6048 Johnson Loop Suite 635,East Daniel,08527,Belarus,572580516430,719222822,Depression,Arthritis,Insured,1535.28,8280.58,4080.08,4643.7,Medical,457,Master's,Unemployed,15,1,0,Divorced,Rent,Hospitality
40,Jennifer,Jones,Female,1944-12-09,81,garyclark@gmail.com,8275945164,8582 Rollins Summit,Jimmyfurt,70961,Saint Pierre and Miquelon,619470764047,649268770,Hypertension,Arthritis,Partially Insured,924.02,12059.48,8631.67,45526.65,Car,601,PhD,Self-employed,18,1,0,Widowed,Own,Construction
41,Eric,Ortiz,Male,1989-08-24,36,dylansilva@bush.com,+1-981-492-6100x157,75947 Sandra Points Apt. 820,New Robert,51401,Saint Pierre and Miquelon,879271072702,834084064,Hypertension,Seasonal Allergy,Partially Insured,81.09,8286.51,5376.62,11604.78,Education,322,Master's,Retired,15,1,0,Widowed,Mortgage,Hospitality
42,Jared,Smith,Male,1952-08-15,73,nicolecunningham@yahoo.com,965-387-0791,786 Baker Forks Suite 249,South Casey,88839,Trinidad and Tobago,720164260854,540215252,Hypertension,Seasonal Allergy,Uninsured,1067.28,10921.73,9126.73,32514.53,Home,336,PhD,Student,16,7,5,Married,Rent,Education
43,Justin,Baker,Male,1965-08-08,60,donald12@shields.net,006.897.1785,03374 Walker Park Suite 851,West Ashleybury,84830,Saint Pierre and Miquelon,520750338484,914094237,None,Arthritis,Partially Insured,1557.1,10518.9,4914.54,27947.44,Education,720,Master's,Self-employed,18,6,4,Married,Mortgage,Retail
44,Charles,Roberts,Male,1961-06-22,64,justin92@gmail.com,(587)355-6456x4174,2532 Porter Creek,Hestermouth,28779,Belarus,343172851460,825451199,Asthma,Arthritis,Partially Insured,830.21,5016.48,2963.3,3499.83,Medical,606,Bachelor's,Retired,7,5,4,Widowed,Living with Family,Hospitality
45,James,Collins,Male,1966-01-05,59,davislogan@gmail.com,(090)614-3521x25030,8021 Christopher Mountain,Port Aaron,70758,Belarus,174797731342,676526133,Depression,None,Partially Insured,1957.81,10336.92,6695.86,1320.38,Personal,782,Master's,Employed,19,6,4,Married,Mortgage,IT
46,Cassandra,Young,Female,1990-11-20,35,baguirre@gmail.com,(094)095-5572x9814,140 Christine Shoals,South Jamie,37879,Western Sahara,560427606889,645473905,Diabetes,Seasonal Allergy,Insured,210.92,2987.8,2688.55,10862.15,Medical,532,Bachelor's,Self-employed,3,3,2,Divorced,Mortgage,Education
47,Kathryn,Hansen,Female,1998-12-11,27,dharrison@morgan.org,537.357.6070x86736,7723 Campbell Shoal,Greeneberg,63590,Saint Pierre and Miquelon,306534482584,422018495,Depression,Seasonal Allergy,Uninsured,854.58,3608.67,3127.33,2331.62,Medical,491,Bachelor's,Retired,6,1,0,Divorced,Rent,Finance
48,Tasha,Mccoy,Female,1951-01-21,74,matthewcook@trujillo.com,(732)605-8352x88996,979 Carly Bypass,South Rebecca,52634,Trinidad and Tobago,317888417337,100552332,Asthma,None,Partially Insured,1276.15,19674.58,16780.67,62287.34,Car,491,Bachelor's,Unemployed,37,2,0,Married,Living with Family,None
49,Andrew,Anderson,Male,1994-09-02,31,atkinskatherine@middleton-walters.com,+1-573-258-5767x57123,67835 Andrew Fords,Port Robertshire,03977,Belarus,796688654638,104446071,None,Arthritis,Partially Insured,909.2,9847.51,5339.44,22565.29,Education,828,PhD,Retired,13,2,1,Widowed,Rent,Retail
50,Tonya,Barnett,Female,2006-08-06,19,omar81@gmail.com,+1-703-695-4103x909,74197 Humphrey Forges Suite 685,Port Brittany,69826,Belarus,444262181004,773177553,Diabetes,None,Uninsured,1361.01,817.52,393.58,15.84,Business,307,High School,Retired,0,1,0,Single,Rent,Hospitality
51,Kevin,Washington,Male,2006-02-11,19,uflores@gmail.com,692-201-6304,1545 Julie Plains Apt. 588,East Rebeccatown,94706,Belarus,461884744441,247820045,Asthma,Arthritis,Uninsured,511.0,1356.33,953.74,580.65,Business,626,High School,Employed,1,1,0,Single,Rent,Retail
52,Gregory,Carney,Male,1991-03-11,34,ashley81@anderson.com,(183)236-3975x245,75248 Christopher Viaduct,Kylemouth,19720,Belarus,115512188725,413967078,Asthma,Arthritis,Uninsured,1743.95,8163.2,6682.77,12744.07,Car,693,Bachelor's,Employed,16,2,1,Divorced,Living with Family,Transportation
53,Robert,Jackson,Male,1971-10-26,54,michelle16@patel.info,243-640-0041x55840,824 Kristi Manor,Brandiview,40720,Saint Pierre and Miquelon,687588334572,625594623,Hypertension,None,Insured,197.46,14522.65,8990.96,33439.25,Car,420,Bachelor's,Retired,29,4,3,Widowed,Rent,Hospitality
54,Steve,Erickson,Male,1992-01-03,33,abigailhall@yahoo.com,(031)412-2705x8618,4466 Terry Centers,Lake Olivia,70533,Western Sahara,371452512406,262296494,Asthma,Seasonal Allergy,Uninsured,214.57,6754.33,3310.94,4325.66,Education,585,Master's,Student,12,3,1,Married,Rent,Construction
55,Connie,Turner,Female,1954-02-14,71,amy23@butler.com,001-829-238-4073x06268,68871 Melissa Place Apt. 103,Coleview,18477,Saint Pierre and Miquelon,536634266612,377298328,Diabetes,Arthritis,Insured,436.13,24423.81,17516.22,2022.1,Personal,401,PhD,Employed,38,4,2,Married,Mortgage,IT
56,Nicholas,Stafford,Male,1955-10-25,70,michaelagill@dixon.info,729.840.9255,8420 Roman Village Apt. 965,Turnerberg,04840,Belarus,872272575112,456350845,Diabetes,Acid Reflux,Insured,1036.31,21761.31,19271.27,24977.93,Personal,588,Master's,Self-employed,41,5,4,Divorced,Rent,Retail
57,Hannah,Little,Female,1986-02-28,39,gdominguez@yahoo.com,+1-933-634-8282x98887,6478 Kristine Fields Suite 710,New Dakota,38144,United Arab Emirates,104051336324,986332015,Diabetes,Arthritis,Insured,1951.51,10005.73,8053.36,18359.88,Business,325,Master's,Employed,18,3,2,Divorced,Rent,Finance
58,Shelley,Ayers,Female,1959-07-12,66,chelsea40@ewing.com,367-551-9610x2098,3635 Laura Parks Apt. 998,Willisbury,68725,Western Sahara,136955962985,794047301,None,Acid Reflux,Partially Insured,996.93,33731.33,17461.29,128173.41,Home,661,PhD,Student,44,3,1,Married,Own,Transportation
59,Maria,Galvan,Female,2002-09-25,23,ocollins@howe.com,(547)795-4172,486 Fisher Estate,Mirandaville,63590,Trinidad and Tobago,921137726457,617841285,Depression,Arthritis,Partially Insured,627.89,2105.53,1851.42,5848.35,Home,466,Associate Degree,Self-employed,3,1,0,Single,Rent,None
60,Elizabeth,Daniel,Female,1992-04-18,33,kristen58@hotmail.com,009-021-6670,216 Brandon Loop Apt. 096,New Jessica,26482,United Arab Emirates,162476077981,897464861,Diabetes,Seasonal Allergy,Uninsured,1336.87,6320.6,5010.24,6594.39,Personal,622,PhD,Unemployed,6,2,1,Single,Living with Family,Retail
61,Russell,Johns,Male,1954-02-20,71,briannajackson@ray.com,360-081-0422x821,52591 Nathan Glen Suite 577,North Lesliefurt,02698,Belarus,707652124879,557276600,Hypertension,None,Insured,89.93,2205.55,1477.18,3897.42,Car,802,Master's,Self-employed,1,7,5,Married,Own,IT
62,Kelly,Knox,Female,1953-11-28,72,eddie12@gmail.com,6911849457,597 Hall Parkway Apt. 655,East Autumnfort,29485,Belarus,943682803049,764648677,Diabetes,Seasonal Allergy,Partially Insured,1973.59,15548.99,13387.55,11044.06,Personal,619,PhD,Retired,27,4,3,Widowed,Mortgage,IT
63,Dana,Johnson,Female,2003-06-18,22,hudsonbernard@white-adams.info,001-603-752-0782x64973,799 Cheryl Island,Tiffanyshire,63863,Western Sahara,570352180903,520306984,Hypertension,None,Uninsured,1907.91,2673.09,2052.45,9177.34,Car,773,Associate Degree,Employed,4,1,0,Single,Rent,None
64,David,James,Male,1967-02-05,58,sydney89@dunlap-allen.com,+1-253-248-2891x773,593 Amber Fords,Peterhaven,84363,Saint Pierre and Miquelon,550301765391,438577300,None,Acid Reflux,Partially Insured,156.98,9799.73,7978.23,46350.67,Business,472,Bachelor's,Employed,21,3,1,Married,Mortgage,Education
65,Nicholas,Williams,Male,1961-02-27,64,gmiller@barker-barnes.com,+1-601-052-4987x48675,111 Melissa Prairie,Stephanieville,30082,Western Sahara,143036418129,946856579,Asthma,Acid Reflux,Uninsured,472.29,14747.78,11302.1,36599.93,Education,666,Master's,Unemployed,21,1,0,Single,Mortgage,Retail
66,Anna,Fitzpatrick,Female,1976-10-28,49,xmckinney@dunlap.com,422-932-2347x429,12623 Michael Shoals Suite 241,Latoyabury,47295,Belarus,912638444277,720067022,None,Seasonal Allergy,Partially Insured,76.6,12330.48,8201.88,60254.59,Medical,844,Master's,Employed,25,3,2,Widowed,Mortgage,Retail
67,Megan,Barnes,Female,1954-02-23,71,gordonstefanie@hotmail.com,(757)343-1574,943 Tran Circles Apt. 619,New Melissamouth,98597,Saint Pierre and Miquelon,691561127648,309467476,None,Seasonal Allergy,Uninsured,1956.91,1772.98,1591.85,8820.05,Education,512,Bachelor's,Unemployed,1,3,2,Divorced,Own,None
68,Pam,Thompson,Female,1943-08-30,82,ymccann@hotmail.com,5668289204,963 Harris Corners Apt. 861,Curryburgh,42239,United Arab Emirates,362993773943,202152934,None,None,Partially Insured,312.33,18814.19,15691.49,79604.39,Education,309,Bachelor's,Self-employed,45,2,1,Divorced,Living with Family,Construction
69,Linda,Russell,Female,1963-04-15,62,travislee@palmer.com,+1-989-696-4790,3037 April Forest Apt. 237,Davisview,63196,Saint Pierre and Miquelon,462461665425,892436716,Diabetes,Seasonal Allergy,Insured,1897.22,15916.3,14224.96,45250.26,Medical,752,Master's,Self-employed,25,2,0,Married,Rent,Healthcare
70,Michelle,Beck,Female,1974-10-31,51,serranomitchell@valdez.com,7428521855,3348 Curtis Street,Fosterberg,28633,Trinidad and Tobago,792725801033,809970597,None,Arthritis,Uninsured,531.52,7831.42,3380.38,22698.86,Education,816,Master's,Employed,11,7,5,Married,Mortgage,Construction
71,Brittney,Lopez,Female,2000-12-09,25,brendawalter@yahoo.com,312-278-6204x791,117 Abigail Burgs Apt. 749,Jacquelinefurt,37459,Western Sahara,235829644638,828883641,Diabetes,Arthritis,Uninsured,928.26,5382.16,2664.14,22732.67,Home,823,Master's,Student,5,2,0,Married,Mortgage,None
72,Rodney,Vaughan,Male,2004-10-26,21,osantos@smith.org,+1-229-921-1414x97949,12705 King Lodge Suite 043,Port Christopher,97647,Saint Pierre and Miquelon,334174027801,586383298,Asthma,Arthritis,Insured,1461.84,944.89,841.68,748.9,Car,499,High School,Student,0,1,0,Single,Rent,Construction
73,Francisco,Baxter,Male,1968-06-09,57,jenniferbaldwin@hotmail.com,+1-634-174-3441,70670 Dixon Trail Suite 799,East Mary,64589,Belarus,524513577505,860161288,Diabetes,Acid Reflux,Uninsured,1847.12,4075.85,2112.79,17602.84,Medical,402,Master's,Retired,4,6,5,Widowed,Living with Family,Construction
74,Dawn,Washington,Female,1998-06-06,27,fanderson@yahoo.com,(035)410-6459,6213 Juarez Mountains,Thompsonstad,41214,Saint Pierre and Miquelon,548550753372,491519261,Depression,Arthritis,Uninsured,1550.89,5167.63,2860.33,19702.28,Personal,507,Bachelor's,Retired,9,1,0,Single,Own,None
75,Lauren,Downs,Female,1995-12-24,30,smithlinda@hughes.com,(049)244-8185x02015,3359 Green Extension Suite 601,North Markborough,63863,Western Sahara,650249898577,935565657,Diabetes,None,Insured,1131.84,5665.83,4279.08,11277.63,Education,834,Master's,Self-employed,9,2,1,Single,Own,Healthcare
76,Eric,Davis,Male,1973-08-21,52,samantharodriguez@wallace.info,279-086-0114x163,637 Lopez Route Apt. 969,West Michael,16102,Saint Pierre and Miquelon,910732372322,602035336,Asthma,Arthritis,Partially Insured,284.26,6625.06,4210.56,10427.88,Car,428,PhD,Retired,7,3,2,Single,Living with Family,Transportation
77,Spencer,Robbins,Male,1968-10-26,57,kimberly23@yahoo.com,057-943-0178x23695,76775 James Ford,South Victorialand,53637,Belarus,837417912392,694799718,Hypertension,Arthritis,Insured,689.4,5901.37,5047.5,21534.36,Business,832,Bachelor's,Employed,8,6,5,Single,Own,Transportation
78,Jared,Ramirez,Male,1945-01-22,80,stephensjennifer@yahoo.com,001-039-467-8410x1566,347 Spencer Road Suite 472,Craigchester,95673,Belarus,748410630049,875003599,Depression,Acid Reflux,Uninsured,1105.45,9274.26,5230.4,36277.64,Home,829,Master's,Student,12,6,5,Divorced,Rent,Transportation
79,Kyle,Harrison,Male,1984-08-29,41,lmeyers@hotmail.com,001-250-677-4135x36095,71129 Jeremy Fall,Lake Abigailchester,66095,Trinidad and Tobago,418598588232,526116271,Diabetes,Arthritis,Partially Insured,114.33,2526.21,2009.62,6596.73,Home,641,Master's,Student,2,2,1,Widowed,Living with Family,IT
80,Jeremiah,Rubio,Male,1939-07-03,86,gmoore@wilson.com,609-457-1043x7483,60015 Kenneth Centers Apt. 090,Port Brittney,03977,Western Sahara,188688347765,728686026,Diabetes,Seasonal Allergy,Insured,365.2,26909.82,18436.92,68942.88,Car,421,Bachelor's,Employed,54,3,2,Widowed,Living with Family,None
81,Charles,Meza,Male,1952-09-18,73,fletchercathy@wilson.biz,177-828-1256,80831 Kemp Pines,Annashire,28779,Trinidad and Tobago,438910724880,360033738,Asthma,None,Uninsured,108.01,13967.67,10467.66,41934.35,Education,472,Bachelor's,Student,26,4,3,Single,Living with Family,Construction
82,Kylie,Davis,Female,1989-06-25,36,sherri85@gmail.com,0243221772,2025 Gonzalez Roads Apt. 872,Manuelville,03455,Trinidad and Tobago,369253176285,478624993,Hypertension,None,Uninsured,42.67,3655.24,2928.59,1171.37,Medical,398,Master's,Student,5,1,0,Widowed,Own,Retail
83,Rebecca,Hammond,Female,1971-10-03,54,anthony53@yahoo.com,6842404156,432 Wood View,East Tylershire,43165,United Arab Emirates,546994214470,406184505,Hypertension,None,Insured,667.23,20406.63,16916.86,80680.61,Home,568,PhD,Retired,31,5,4,Widowed,Own,Education
84,Robin,Gregory,Female,1969-06-21,56,lindseyeric@wu.org,+1-308-378-7995,1065 Timothy Forks Suite 903,Gutierrezfurt,30082,United Arab Emirates,571066549609,509390407,Diabetes,Seasonal Allergy,Insured,965.83,1426.01,682.25,1144.79,Personal,462,Bachelor's,Retired,0,6,4,Married,Own,Finance
85,Zachary,Wilcox,Male,1963-07-26,62,hayneseric@hotmail.com,4212426486,677 John Island Suite 446,South Sharonhaven,35926,Belarus,398164695008,884911542,Depression,Seasonal Allergy,Partially Insured,276.0,11922.27,10528.7,9753.69,Business,730,PhD,Employed,18,4,2,Married,Rent,None
86,Matthew,Russell,Male,1939-04-14,86,zpeters@marquez-johnson.info,+1-685-878-7879x29095,6131 Kristina Motorway,South Leslie,01806,Belarus,637534617760,940200311,None,None,Insured,94.41,34143.95,16593.32,4296.35,Home,631,PhD,Student,49,2,1,Single,Rent,Education
87,Tina,King,Female,1980-10-11,45,wardwilliam@li-santos.org,428-221-5300,1980 Courtney Port Apt. 941,Michaelberg,30082,Saint Pierre and Miquelon,144541477753,454157069,None,Acid Reflux,Partially Insured,800.78,7162.62,6137.27,33038.9,Car,672,Bachelor's,Retired,13,4,2,Married,Living with Family,Healthcare
